,Female Percentage,Male Count,Female Count,Total Count
count,142.0,142.0,142.0,142.0
mean,35.45212812709706,8.535211267605634,4.936619718309859,13.471830985915492
std,15.58300211572439,3.442871084221304,3.189554736110339,5.235847065762553
min,0.0,2.0,0.0,3.0
25%,25.416666666666668,6.0,3.0,10.0
50%,35.50420168067227,8.0,4.0,13.0
75%,44.27083333333333,11.0,7.0,16.0
max,71.42857142857143,19.0,17.0,32.0
