Region,Home Program
West South Central,27.810650887573964
East North Central,24.731182795698924
South Atlantic,21.071428571428573
Middle Atlantic,19.88472622478386
East South Central,17.5
West North Central,15.267175572519085
Pacific,14.973262032085561
New England,12.359550561797752
Mountain,8.641975308641975
