State,City,Program Name,ID,Uses Signals?,PD Gender,Region,Total Spots,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Notes
Pennsylvania,Allentown,Lehigh Valley Health Network Program,804100105,Unregistered,F,Middle Atlantic,2.0,,,,,,,,,,,,,,
Pennsylvania,Danville,Geisinger Health System Program,804112076,Participating,M,Middle Atlantic,4.0,,,,,,,,,,,,,,
Pennsylvania,Easton,St Luke's Hospital - Anderson Campus Program,804100107,Participating,M,Middle Atlantic,3.0,,,,,,,,,,,,,,
Pennsylvania,Hershey,Penn State Milton S Hershey Medical Center Program,804121103,Participating,M,Middle Atlantic,4.0,,,,,,,,,,,,,,
Pennsylvania,Philadelphia,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,804111079,Participating,M,Middle Atlantic,4.0,,,,,,,,,,,,,,
Pennsylvania,Philadelphia,Temple University Hospital Program,804100104,Participating,F,Middle Atlantic,3.0,,,,,,,,,,,,,,
Pennsylvania,Philadelphia,University of Pennsylvania Health System Program,804121080,Participating,M,Middle Atlantic,7.0,,,,,,,,,,,,,,
Pennsylvania,Pittsburgh,UPMC Medical Education Program,804111081,Unregistered,F,Middle Atlantic,6.0,,,,,,,,,,,,,,
Puerto Rico,San Juan,University of Puerto Rico Program,804221082,Unregistered,M,South Atlantic,3.0,,,,,,,,,,,,,,
Rhode Island,Providence,Brown University Program,804321122,Participating,M,New England,4.0,,,,,,,,,,,,,,
South Carolina,Charleston,Medical University of South Carolina Program,804521099,Participating,M,South Atlantic,5.0,,,,,,,,,,,,,,
Tennessee,Memphis,University of Tennessee Program,804721084,Participating,F,East South Central,4.0,,,,,,,,,,,,,,
Tennessee,Nashville,Vanderbilt University Medical Center Program,804721098,Participating,F,East South Central,5.0,,,,,,,,,,,,,,
Texas,Austin,University of Texas at Austin Dell Medical School Program,804812140,Participating,M,West South Central,4.0,,,,,,,,,,,,,,
Texas,Bellaire,University of Texas Health Science Center at Houston Program,804821100,Participating,F,West South Central,7.0,,,,,,,,,,,,,,
Texas,Dallas,Baylor University Medical Center Program,804813142,Participating,M,West South Central,2.0,,,,,,,,,,,,,,
Texas,Dallas,HES/Lake Granbury Medical Center Program,804800001,Participating,M,West South Central,3.0,,,,,,,,,,,,,,
Texas,Dallas,University of Texas Southwestern Medical Center Program,804821085,Participating,M,West South Central,8.0,,,,,,,,,,,,,,
Texas,Fort Worth,HCA Medical City Program,804800144,Participating,M,West South Central,2.0,,,,,,,,,,,,,,
Texas,Galveston,University of Texas Medical Branch Hospitals Program,804811086,Participating,M,West South Central,6.0,,,,,,,,,,,,,,
Texas,Houston,Baylor College of Medicine Program,804821087,Participating,M,West South Central,4.0,,,,,,,,,,,,,,Has 2020-2023 graduates
Texas,Lubbock,Texas Tech University Health Sciences Center at Lubbock Program,804821105,Participating,M,West South Central,3.0,,,,,,,,,,,,,,
Texas,McAllen,HCA Healthcare Corpus Christi Medical Center - Bay Area Program,804800145,Participating,M,West South Central,1.0,,,,,,,,,,,,,,
Texas,San Antonio,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,804822088,Participating,F,West South Central,3.0,,,,,,,,,,,,,,Has 2022-2024 graduates
Texas,Temple,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,804821133,Participating,F,West South Central,4.0,,,,,,,,,,,,,,
Utah,Salt Lake City,University of Utah Health Program,804921112,Participating,M,Mountain,4.0,,,,,,,,,,,,,,
Vermont,Burlington,University of Vermont Medical Center Program,805013129,Participating,M,New England,2.0,,,,,,,,,,,,,,
Virginia,Blacksburg,HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program,805100132,Participating,M,South Atlantic,2.0,,,,,,,,,,,,,,
Virginia,Charlottesville,University of Virginia Medical Center Program,805111089,Participating,M,South Atlantic,3.0,,,,,,,,,,,,,,
Virginia,Norfolk,Eastern Virginia Medical School Program at Old Dominion University,805121130,Unregistered,F,South Atlantic,2.0,,,,,,,,,,,,,,
Virginia,Richmond,Virginia Commonwealth University Health System Program,805121090,Participating,F,South Atlantic,2.0,,,,,,,,,,,,,,
Virginia,Roanoke,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,805100131,Participating,F,South Atlantic,2.0,,,,,,,,,,,,,,
Washington,Seattle,University of Washington Program,805431091,Participating,M,Pacific,5.0,,,,,,,,,,,,,,
West Virginia,Morgantown,West Virginia University Program,805511092,Unregistered,M,South Atlantic,2.0,,,,,,,,,,,,,,
Wisconsin,Madison,University of Wisconsin Hospitals and Clinics Program,805621093,Participating,M,East North Central,5.0,,,,,,,,,,,,,,Has graduates 2008-2024
Wisconsin,Marshfield,Marshfield Clinic Program,805622131,Participating,M,East North Central,2.0,,,,,,,,,,,,,,
Wisconsin,Milwaukee,Medical College of Wisconsin Affiliated Hospitals Program,805621095,Participating,F,East North Central,5.0,,,,,,,,,,,,,,Has graduates 2019-2024
